ep,node,gtype,policy,deg_mean,btwn_mean,close_mean,vuln_mean,vuln_std,vuln_max,total_scans,total_exploits,total_successes,uniq_srcs_mean,neigh_scans_mean,time_since_last_mean,label
0,0,watts_strogatz,random,4.0,0.1168884422455851,0.3620689655172414,0.758,0.0,0.758,213,0,0,2.08125,2.40625,10.275,0
0,1,watts_strogatz,random,4.0,0.19860372431801004,0.39622641509433965,0.321,0.0,0.321,93,0,0,1.34375,3.54375,18.41875,0
0,2,watts_strogatz,random,4.0,0.09641620284477428,0.3387096774193548,0.8009999999999999,0.0,0.801,209,0,0,1.85,3.39375,14.30625,0
0,3,watts_strogatz,random,3.0,0.0065079365079365094,0.29577464788732394,0.11600000000000002,0.0,0.116,120,0,0,1.75,2.41875,8.2875,0
0,4,watts_strogatz,random,4.0,0.028378684807256242,0.3181818181818182,0.777,0.0,0.777,117,0,0,1.61875,2.9875,11.80625,0
0,5,watts_strogatz,random,4.0,0.04272314986600702,0.3181818181818182,0.869,0.0,0.869,61,0,0,1.29375,2.6875,17.65625,0
0,6,watts_strogatz,random,4.0,0.05463615749330034,0.3387096774193548,0.722,0.0,0.722,88,0,0,1.3125,2.01875,14.3375,0
0,7,watts_strogatz,random,5.0,0.2587418401704116,0.40384615384615385,0.767,0.0,0.767,105,0,0,1.56875,2.5125,16.1875,0
0,8,watts_strogatz,random,4.0,0.09642358963787537,0.3620689655172414,0.173,0.0,0.173,40,0,0,1.25,3.11875,7.94375,0
0,9,watts_strogatz,random,4.0,0.13757610114752972,0.375,0.788,0.0,0.788,120,0,0,1.725,3.09375,12.25625,0
0,10,watts_strogatz,random,4.0,0.10069968391396963,0.3442622950819672,0.8560000000000001,0.0,0.856,186,0,0,1.98125,3.15625,9.7375,0
0,11,watts_strogatz,random,4.0,0.10344173022744454,0.35,0.717,0.0,0.717,164,0,0,1.6875,4.0125,12.7375,0
0,12,watts_strogatz,random,4.0,0.09147804576376005,0.328125,0.636,0.0,0.636,181,0,0,1.65625,3.74375,13.9375,0
0,13,watts_strogatz,random,4.0,0.08152958152958154,0.328125,0.11200000000000002,0.0,0.112,155,0,0,1.8625,2.975,10.0,0
0,14,watts_strogatz,random,4.0,0.08067288531574247,0.3181818181818182,0.076,0.0,0.076,94,0,0,1.3375,3.225,8.46875,0
0,15,watts_strogatz,random,4.0,0.07140967498110355,0.31343283582089554,0.605,0.0,0.605,37,0,0,1.23125,2.9,10.45,0
0,16,watts_strogatz,random,4.0,0.08016268123410981,0.3181818181818182,0.138,0.0,0.138,143,0,0,1.85,2.85,7.10625,0
0,17,watts_strogatz,random,4.0,0.07668625025767883,0.3230769230769231,0.316,0.0,0.316,72,0,0,1.2875,4.0,7.76875,0
0,18,watts_strogatz,random,4.0,0.09312203669346526,0.328125,0.346,0.0,0.346,253,0,0,2.58125,2.90625,5.21875,0
0,19,watts_strogatz,random,4.0,0.0935530474816189,0.3442622950819672,0.399,0.0,0.399,207,0,0,2.03125,2.55,11.45625,0
0,20,watts_strogatz,random,4.0,0.10937315330172474,0.3442622950819672,0.38,0.0,0.38,43,0,0,1.26875,4.45625,11.0875,0
0,21,watts_strogatz,random,4.0,0.11907063835635265,0.3684210526315789,0.376,0.0,0.376,40,0,0,1.2375,3.475,9.34375,0
1,0,watts_strogatz,random,4.0,0.09564270152505447,0.4390243902439025,0.129,0.0,0.129,145,0,0,1.90625,5.03125,5.65,0
1,1,watts_strogatz,random,3.0,0.020588235294117647,0.4,0.358,0.0,0.358,175,0,0,2.09375,2.475,7.43125,0
1,2,watts_strogatz,random,4.0,0.1662464985994398,0.47368421052631576,0.11000000000000001,0.0,0.11,89,0,0,1.525,4.01875,7.38125,0
1,3,watts_strogatz,random,4.0,0.09337068160597572,0.4,0.417,0.0,0.417,162,0,0,2.0125,2.725,7.1125,0
1,4,watts_strogatz,random,3.0,0.013071895424836602,0.35294117647058826,0.676,0.0,0.676,172,0,0,2.075,1.4375,8.13125,0
1,5,watts_strogatz,random,4.0,0.050560224089635855,0.4,0.507,0.0,0.507,0,0,0,1.0,4.2125,9.5625,0
1,6,watts_strogatz,random,4.0,0.05890133831310303,0.40909090909090906,0.697,0.0,0.697,68,0,0,1.2875,2.775,13.9375,0
1,7,watts_strogatz,random,4.0,0.1746498599439776,0.47368421052631576,0.12,0.0,0.12,272,0,0,2.5375,1.35,6.48125,0
1,8,watts_strogatz,random,4.0,0.11171802054154996,0.42857142857142855,0.31,0.0,0.31,0,0,0,0.90625,4.0625,14.85,0
1,9,watts_strogatz,random,3.0,0.017973856209150325,0.4,0.20400000000000001,0.0,0.204,71,0,0,1.44375,2.5,5.69375,0
1,10,watts_strogatz,random,4.0,0.06542172424525367,0.42857142857142855,0.503,0.0,0.503,239,0,0,2.13125,2.81875,5.4375,0
1,11,watts_strogatz,random,5.0,0.1887955182072829,0.47368421052631576,0.395,0.0,0.395,161,0,0,1.75625,4.46875,5.40625,0
1,12,watts_strogatz,random,4.0,0.058403361344537816,0.4186046511627907,0.41200000000000003,0.0,0.412,219,0,0,2.36875,4.56875,4.78125,0
1,13,watts_strogatz,random,4.0,0.060192966075319,0.4186046511627907,0.24,0.0,0.24,97,0,0,1.35625,4.8375,6.2375,0
1,14,watts_strogatz,random,4.0,0.040958605664488015,0.375,0.273,0.0,0.273,234,0,0,2.175,4.15625,6.44375,0
1,15,watts_strogatz,random,5.0,0.07888266417678182,0.42857142857142855,0.804,0.0,0.804,160,0,0,2.0,6.63125,7.53125,0
1,16,watts_strogatz,random,4.0,0.02801120448179271,0.4,0.518,0.0,0.518,189,0,0,2.1125,5.84375,8.20625,0
1,17,watts_strogatz,random,5.0,0.194693432928727,0.4864864864864865,0.159,0.0,0.159,148,0,0,1.925,7.24375,7.58125,0
1,18,watts_strogatz,random,4.0,0.03093681917211329,0.40909090909090906,0.807,0.0,0.807,393,0,0,2.9625,4.0125,6.9,0
2,0,erdos_renyi,random,1.0,0.0,0.1864406779661017,0.1287649241518614,0.0,0.1287649241518614,272,0,0,1.9625,1.33125,10.34375,0
2,1,erdos_renyi,random,2.0,0.18181818181818182,0.22448979591836732,0.31407173228060487,0.0,0.31407173228060487,213,0,0,2.0125,2.6,5.225,0
2,2,erdos_renyi,random,1.0,0.0,0.2444444444444444,0.6944769524237816,0.0,0.6944769524237816,341,0,0,2.5625,1.16875,10.14375,0
2,3,erdos_renyi,random,2.0,0.5454545454545454,0.3333333333333333,0.6361665389212551,0.0,0.6361665389212551,183,0,0,2.14375,1.95,9.20625,0
2,4,erdos_renyi,random,2.0,0.32727272727272727,0.2682926829268293,0.7702003203797615,0.0,0.7702003203797615,144,0,0,1.66875,2.5,10.43125,0
2,5,erdos_renyi,random,2.0,0.509090909090909,0.3142857142857143,1.0,0.0,1.0,185,0,0,1.9125,1.9125,10.33125,0
2,6,erdos_renyi,random,2.0,0.43636363636363634,0.28205128205128205,0.9790329198894827,0.0,0.9790329198894828,181,0,0,1.83125,3.625,12.225,0
2,7,erdos_renyi,random,2.0,0.32727272727272727,0.2444444444444444,1.0,0.0,1.0,395,0,0,2.25,1.36875,5.9875,0
2,8,erdos_renyi,random,2.0,0.5454545454545454,0.3333333333333333,1.0,0.0,1.0,125,0,0,1.60625,2.3,12.9375,0
2,9,erdos_renyi,random,3.0,0.5636363636363636,0.3142857142857143,0.4672232308191212,0.0,0.46722323081912126,187,0,0,1.69375,4.175,16.0875,0
2,10,erdos_renyi,random,2.0,0.18181818181818182,0.20754716981132076,0.9177304540659963,0.0,0.9177304540659963,38,0,0,1.03125,3.84375,16.13125,0
2,11,erdos_renyi,random,1.0,0.0,0.1746031746031746,0.6699716329142557,0.0,0.6699716329142557,220,0,0,1.80625,0.2375,13.6375,0
3,0,watts_strogatz,rl_stub,4.0,0.08815675552517659,0.37037037037037035,0.579,0.0,0.579,198,0,0,1.9625,3.425,8.24375,0
3,1,watts_strogatz,rl_stub,4.0,0.1721195033037138,0.40816326530612246,0.514,0.0,0.514,206,323,0,3.225,3.6875,8.5125,1
3,2,watts_strogatz,rl_stub,3.0,0.03528024606971976,0.3333333333333333,0.469,0.0,0.469,88,0,0,1.4625,3.19375,17.5875,0
3,3,watts_strogatz,rl_stub,4.0,0.03341763499658237,0.3508771929824561,0.503,0.0,0.503,140,42,0,1.85625,3.975,8.0625,1
3,4,watts_strogatz,rl_stub,4.0,0.047157666894509,0.3508771929824561,0.707,0.0,0.707,173,0,0,2.0,3.2,10.1625,0
3,5,watts_strogatz,rl_stub,4.0,0.06595238095238094,0.37037037037037035,0.651,0.0,0.651,169,54,0,2.2,2.88125,8.1375,1
3,6,watts_strogatz,rl_stub,5.0,0.21570915926179088,0.43478260869565216,0.298,0.0,0.298,115,0,0,1.575,4.21875,8.14375,0
3,7,watts_strogatz,rl_stub,4.0,0.1704585326953748,0.425531914893617,0.119,0.0,0.119,33,0,0,1.20625,3.23125,10.95,0
3,8,watts_strogatz,rl_stub,4.0,0.11088972431077693,0.37735849056603776,0.607,0.0,0.607,94,0,0,1.5875,2.1375,10.1,0
3,9,watts_strogatz,rl_stub,3.0,0.013153907496012756,0.3333333333333333,0.332,0.0,0.332,149,40,0,2.15625,1.11875,8.65625,1
3,10,watts_strogatz,rl_stub,4.0,0.03213317384370016,0.35714285714285715,0.39,0.0,0.39,45,120,0,1.40625,2.6375,15.38125,1
3,11,watts_strogatz,rl_stub,4.0,0.042936887673729766,0.3389830508474576,0.8139999999999998,0.0,0.814,40,0,0,0.825,3.24375,17.9625,0
3,12,watts_strogatz,rl_stub,5.0,0.20740145819093186,0.4166666666666667,0.244,0.0,0.244,139,0,0,1.5875,2.1875,11.8,0
3,13,watts_strogatz,rl_stub,4.0,0.08087605377079062,0.37037037037037035,0.097,0.0,0.097,186,127,0,2.625,2.15625,5.725,1
3,14,watts_strogatz,rl_stub,4.0,0.10159261790840739,0.37735849056603776,0.20800000000000002,0.0,0.208,46,80,0,1.76875,3.0,10.33125,1
3,15,watts_strogatz,rl_stub,4.0,0.0816159717475507,0.3508771929824561,0.561,0.0,0.561,120,0,0,1.7,1.91875,7.74375,0
3,16,watts_strogatz,rl_stub,4.0,0.07370984278879016,0.35714285714285715,0.325,0.0,0.325,35,19,0,1.3375,2.3875,9.6875,1
3,17,watts_strogatz,rl_stub,4.0,0.07949874686716793,0.3448275862068966,0.138,0.0,0.138,40,0,0,1.25,2.8,11.24375,0
3,18,watts_strogatz,rl_stub,4.0,0.07267600820232398,0.35714285714285715,0.395,0.0,0.395,176,0,0,2.09375,2.05625,9.55625,0
3,19,watts_strogatz,rl_stub,4.0,0.08260594668489406,0.3508771929824561,0.476,0.0,0.476,117,0,0,1.73125,3.44375,12.9,0
3,20,watts_strogatz,rl_stub,4.0,0.09792093871041238,0.37735849056603776,0.40099999999999997,0.0,0.401,137,0,0,1.80625,4.35625,12.98125,0
4,0,barabasi_albert,rl_stub,8.0,0.2528117913832199,0.6176470588235294,0.796,0.0,0.796,40,340,0,3.1,6.76875,5.19375,1
4,1,barabasi_albert,rl_stub,2.0,0.019841269841269844,0.42000000000000004,0.077,0.0,0.077,276,0,0,2.41875,1.5125,6.90625,0
4,2,barabasi_albert,rl_stub,6.0,0.14791950113378685,0.5384615384615384,0.586,0.0,0.586,58,80,0,1.4,2.2375,9.8375,1
4,3,barabasi_albert,rl_stub,11.0,0.33992630385487527,0.65625,0.182,0.0,0.182,175,0,0,1.84375,5.775,6.6875,0
4,4,barabasi_albert,rl_stub,6.0,0.10649092970521543,0.525,0.639,0.0,0.639,120,73,0,1.98125,3.33125,5.24375,1
4,5,barabasi_albert,rl_stub,3.0,0.018253968253968255,0.4666666666666667,0.36,0.0,0.36,85,0,0,1.51875,2.25,10.34375,0
4,6,barabasi_albert,rl_stub,6.0,0.138015873015873,0.5384615384615384,0.859,0.0,0.859,69,80,0,1.6875,3.525,10.43125,1
4,7,barabasi_albert,rl_stub,4.0,0.10393990929705214,0.47727272727272735,0.652,0.0,0.652,194,0,0,1.71875,1.48125,9.075,0
4,8,barabasi_albert,rl_stub,5.0,0.06535714285714286,0.45652173913043476,0.642,0.0,0.642,65,0,0,1.29375,2.15,11.6,0
4,9,barabasi_albert,rl_stub,2.0,0.0035714285714285718,0.38181818181818183,0.336,0.0,0.336,84,0,0,1.34375,1.15625,12.3625,0
4,10,barabasi_albert,rl_stub,3.0,0.06715419501133787,0.4883720930232558,0.764,0.0,0.764,56,0,0,1.35,2.7875,8.81875,0
4,11,barabasi_albert,rl_stub,3.0,0.022539682539682544,0.38181818181818183,0.146,0.0,0.146,202,7,0,2.0625,2.575,8.70625,1
4,12,barabasi_albert,rl_stub,2.0,0.007103174603174604,0.39622641509433965,0.39,0.0,0.39,26,0,0,1.1625,0.76875,9.80625,0
4,13,barabasi_albert,rl_stub,2.0,0.0,0.42857142857142855,0.349,0.0,0.349,80,0,0,1.5,1.84375,8.7875,0
4,14,barabasi_albert,rl_stub,2.0,0.007698412698412699,0.3888888888888889,0.867,0.0,0.867,48,0,0,1.3,1.575,8.0375,0
4,15,barabasi_albert,rl_stub,2.0,0.0,0.44680851063829785,0.329,0.0,0.329,39,0,0,1.24375,1.34375,5.68125,0
4,16,barabasi_albert,rl_stub,3.0,0.013662131519274376,0.45652173913043476,0.325,0.0,0.325,71,0,0,1.175,2.9875,11.8875,0
